"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,       -5.95352472,      -5.198333737,      -5.679736532,      -9.109215775,       3.211129709,               2.4,               2.4,      0.1264047009,       1.165644362
           1,      -6.151202347,      -5.285513575,      -5.522782509,      -3.558569408,       4.091582205,              2.88,              2.88,      0.1265361415,       1.166398772
           2,      -6.405628026,      -5.359118459,      -5.479033491,      -3.902560914,       3.458497088,             3.456,             3.456,      0.1266637039,       1.167096224
           3,      -6.610739425,      -5.406632655,      -5.537683809,       -4.22645243,       2.716687747,            4.1472,            4.1472,      0.1267570568,       1.167620735
           4,      -6.661984093,      -5.432007498,      -5.663658698,      -4.793164692,       1.688731321,           4.97664,           4.97664,      0.1268049326,       1.167919921
           5,      -6.767433848,      -5.451560534,      -5.806854752,      -5.267801273,      0.5414732585,          5.971968,          5.971968,      0.1268154264,       1.168026601
           6,      -6.921122552,      -5.476790008,      -5.916281058,      -5.401395896,      0.3132462881,         7.1663616,         7.1663616,      0.1268082013,       1.168025651
           7,      -6.969062877,      -5.507141665,      -5.975264396,      -5.514288485,      0.1917040693,        8.59963392,        8.59963392,      0.1268008492,       1.167998696
           8,      -7.045107698,      -5.535186908,       -5.98315577,      -5.621581168,     0.08024799861,        10.3195607,        10.3195607,      0.1268004169,         1.1679863
           9,      -7.188659001,      -5.556703897,      -5.980865881,      -5.724211305,    -0.02456780767,       12.38347284,       12.38347284,      0.1268049248,       1.167990463
          10,      -7.275108159,      -5.573436314,      -5.987376125,      -5.822767696,     -0.1245584049,       14.86016741,       14.86016741,      0.1268102931,        1.16800072
          11,      -7.331383229,      -5.588187375,      -5.995333294,      -5.917697445,     -0.2209706648,        17.8322009,        17.8322009,      0.1268149619,       1.168012021
          12,      -7.399722976,       -5.60197063,      -6.003745663,      -6.009335447,      -0.314622013,       21.39864108,       21.39864108,      0.1268198567,       1.168025396
          13,      -7.442143221,      -5.615019144,      -6.011749664,       -6.09793077,     -0.4058515553,       25.67836929,       25.67836929,      0.1268265862,       1.168042931
