"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -5.047249752,      -4.085862983,      -4.002484061,      -7.198996817,      -1.408645786,               2.4,               2.4,      0.3443848627,       1.262778294
           1,      -5.084137848,      -4.101152641,      -4.026494599,      -7.118883392,      -1.185448567,              2.88,              2.88,      0.3443851696,       1.262778503
           2,       -5.01724562,      -4.112019398,      -4.063595746,      -7.120917547,     -0.9388291214,             3.456,             3.456,      0.3443861081,       1.262781784
           3,      -4.930910294,      -4.116849223,      -4.117549148,      -7.166234797,     -0.6928958076,            4.1472,            4.1472,      0.3443877701,       1.262790748
           4,      -4.876866801,       -4.11531768,      -4.189770274,      -7.191101239,     -0.4154554286,           4.97664,           4.97664,      0.3443894075,       1.262808925
           5,      -4.863327201,      -4.109195311,      -4.277808503,       -7.14339037,     -0.1909009453,          5.971968,          5.971968,      0.3443864814,       1.262836379
           6,      -4.883333816,      -4.101991952,      -4.374033945,      -7.083329164,    -0.02057754151,         7.1663616,         7.1663616,      0.3443586359,       1.262847335
           7,      -4.921836963,      -4.097508673,           -4.4602,      -7.060847616,      0.4166496722,        8.59963392,        8.59963392,      0.3442278275,       1.262714228
           8,      -4.962247746,      -4.098131444,      -4.500500334,      -7.073427319,       0.949222059,        10.3195607,        10.3195607,      0.3437465639,       1.262022888
           9,      -4.996404327,      -4.103861368,      -4.480234601,      -7.098760602,       1.309248304,       12.38347284,       12.38347284,      0.3422897639,       1.259772472
          10,      -5.026733636,      -4.112344311,      -4.439991019,      -7.115025435,       1.553344836,       14.86016741,       14.86016741,      0.3386475913,       1.254184564
          11,      -5.060138742,      -4.120274064,      -4.414722727,      -7.115206624,         1.6899827,        17.8322009,        17.8322009,      0.3311380555,        1.24318512
          12,      -5.100709925,      -4.125640763,      -4.408373337,      -7.111556056,       1.721127951,       21.39864108,       21.39864108,      0.3183506756,       1.225928467
          13,      -5.144205014,      -4.128559457,      -4.408628056,      -7.111924571,       1.651090397,       25.67836929,       25.67836929,      0.3002037412,       1.204393403
          14,      -5.181166359,      -4.130251871,      -4.403344981,      -7.107164704,       1.548387384,       30.81404315,       30.81404315,      0.2781999273,       1.182844129
          15,      -5.204441286,      -4.131829416,      -4.388737927,      -7.089908087,       1.587914129,       36.97685178,       36.97685178,      0.2548851601,       1.165176708
          16,      -5.212749519,      -4.134273771,      -4.368387385,      -7.075527384,       1.691069771,       44.37222213,       44.37222213,      0.2328911488,       1.152118335
          17,      -5.214497448,      -4.138343459,      -4.345069197,      -7.078204512,       1.772219747,       53.24666656,       53.24666656,      0.2149944657,       1.141770115
          18,      -5.218574662,      -4.145421485,      -4.322104487,      -7.094551167,       1.799187352,       63.89599987,       63.89599987,      0.2042657295,       1.132640429
          19,      -5.225266267,      -4.157579493,      -4.304346555,      -7.109218094,       1.709808801,       76.67519985,       76.67519985,      0.2031928829,       1.126220033
          20,      -5.228811299,      -4.176671819,      -4.298651055,      -7.105313786,       1.154797917,       92.01023982,       92.01023982,       0.211808248,       1.127144034
          21,      -5.244590165,      -4.203002678,      -4.307321624,       -7.09907512,       1.138342217,       92.01023982,       92.01023982,      0.2273901294,       1.141276511
          22,      -5.283878264,      -4.237249153,      -4.327521881,       -7.14708545,       1.102396995,       9.201023982,       9.201023982,       0.243698038,       1.166155857
          23,      -5.340113928,      -4.278290942,      -4.365483969,      -7.433444895,      0.1524051631,       11.04122878,       11.04122878,      0.2453753503,       1.168795793
          24,      -5.380591048,      -4.288832101,      -4.482772535,      -7.337219576,      0.1405758594,       13.24947453,       13.24947453,      0.2473771634,       1.172115659
          25,      -5.532434263,      -4.306220479,      -4.574151506,      -7.337503805,      0.1783116971,       15.89936944,       15.89936944,      0.2497546515,       1.176282873
          26,      -5.612688439,      -4.334144656,      -4.588797147,      -7.424108916,      0.2306975325,       19.07924333,       19.07924333,      0.2525661465,        1.18150408
          27,      -5.596294782,      -4.366539246,      -4.564491577,       -7.47682809,      0.3121250938,       22.89509199,       22.89509199,      0.2559030871,       1.188096945
          28,      -5.571474888,      -4.398743847,      -4.560265777,      -7.463469384,      0.3856524729,       27.47411039,       27.47411039,      0.2599194846,       1.196602239
          29,       -5.56715113,      -4.431442052,      -4.580962026,      -7.430602362,      0.4649349568,       32.96893247,       32.96893247,      0.2647986783,       1.207758712
          30,      -5.573735949,      -4.466619328,      -4.608287326,      -7.413039767,      0.5307704295,       39.56271897,       39.56271897,      0.2706179215,       1.222134862
          31,      -5.572428716,      -4.504202457,      -4.631188238,      -7.401033636,       0.597808641,       47.47526276,       47.47526276,      0.2772999026,       1.239734403
          32,      -5.563529056,      -4.542063292,      -4.650925219,      -7.381648739,      0.6683380506,       56.97031531,       56.97031531,      0.2848414499,       1.260145619
          33,      -5.554917058,      -4.578214581,      -4.671863322,      -7.354433003,      0.7885824134,       68.36437837,       68.36437837,      0.2936178631,       1.283158886
          34,      -5.557034691,      -4.611394018,      -4.687926044,      -7.327250712,      0.8065271755,       82.03725405,       82.03725405,      0.3042569535,       1.308875606
          35,      -5.573582786,      -4.640004967,       -4.69803273,      -7.303073652,       0.745491382,       8.203725405,       8.203725405,      0.3170394961,       1.336962327
          36,      -5.606174918,      -4.662746476,      -4.703320545,      -7.404114643,     -0.1834250102,       9.844470486,       9.844470486,      0.3183278276,       1.339774494
          37,      -5.617819948,      -4.666234868,      -4.736179963,      -7.388504053,     -0.1651551941,       11.81336458,       11.81336458,      0.3198709375,       1.343100232
          38,      -5.648696538,      -4.669861807,      -4.755210052,      -7.373978916,    -0.08181716388,        14.1760375,        14.1760375,      0.3217182301,        1.34702125
          39,      -5.667751745,      -4.675856594,      -4.761113391,      -7.368337355,     0.02505787001,         17.011245,         17.011245,      0.3239295122,       1.351620346
          40,      -5.675721175,      -4.682848258,      -4.758808998,      -7.363634263,      0.1206620912,         20.413494,         20.413494,      0.3265814198,       1.356989888
          41,      -5.680619044,       -4.68914648,      -4.754803284,      -7.353689886,      0.1701226912,        24.4961928,        24.4961928,      0.3297802139,       1.363278651
          42,      -5.685994427,      -4.694354061,      -4.751866251,      -7.339397338,      0.1074223657,       29.39543136,       29.39543136,      0.3336633489,       1.370744827
          43,      -5.693928531,      -4.698919511,       -4.74877395,      -7.322755211,       0.205782464,       35.27451763,       35.27451763,      0.3383210536,        1.37960563
          44,      -5.703906115,      -4.703330891,      -4.744091486,       -7.30426091,      0.4700366197,       42.32942116,       42.32942116,      0.3436119972,         1.3895515
          45,      -5.713844177,        -4.7077574,      -4.737977241,      -7.284730076,      0.6609598393,       50.79530539,       50.79530539,      0.3490520959,       1.399376694
          46,      -5.721804431,        -4.7122787,      -4.731229637,      -7.265020387,      0.7522504975,       60.95436647,       60.95436647,      0.3539571941,       1.407292829
          47,      -5.728208799,      -4.716730135,      -4.724337748,      -7.246831077,      0.7270377507,       73.14523976,       73.14523976,       0.357661067,        1.41156616
          48,      -5.734814825,      -4.720410597,      -4.717392007,        -7.2300977,      0.6431289312,       7.314523976,       7.314523976,      0.3595602407,       1.410758612
          49,      -5.742182913,      -4.722648505,      -4.710939634,      -7.288792599,     -0.3245128265,       8.777428771,       8.777428771,      0.3597271566,       1.410623747
          50,      -5.763033513,      -4.721755553,       -4.72194142,      -7.282981521,     -0.2806727712,       10.53291453,       10.53291453,      0.3598927833,       1.410382599
          51,      -5.796703598,      -4.720885586,       -4.72831913,      -7.277097238,     -0.1739706279,       12.63949743,       12.63949743,      0.3600423939,       1.409980056
          52,      -5.816585363,      -4.721514178,      -4.730962715,       -7.27441958,    -0.04520667721,       15.16739692,       15.16739692,      0.3601510963,       1.409329754
          53,      -5.824381541,      -4.722795349,      -4.730992846,      -7.272692556,     0.08722652753,        18.2008763,        18.2008763,      0.3601764629,       1.408294511
          54,      -5.826740662,      -4.723789906,      -4.730076349,      -7.269902814,      0.2001584601,       21.84105156,       21.84105156,       0.360053865,       1.406679008
          55,      -5.826540155,      -4.724453423,      -4.729182987,      -7.266216197,      0.2350248318,       26.20926187,       26.20926187,       0.359718469,       1.404295066
          56,      -5.827361753,      -4.725123294,      -4.727764415,      -7.262264509,      0.1964766856,       31.45111425,       31.45111425,      0.3591550748,       1.401092654
          57,       -5.82944227,      -4.725924636,      -4.725396514,      -7.258626314,       0.191851951,        37.7413371,        37.7413371,      0.3583882472,       1.397129597
          58,      -5.829784114,       -4.72666384,      -4.721733729,      -7.255208265,      0.2124465073,       45.28960451,       45.28960451,      0.3573617532,       1.392254539
          59,      -5.828507174,      -4.727057814,      -4.717339914,      -7.252054749,      0.2493510005,       54.34752542,       54.34752542,      0.3559148396,       1.386008731
          60,      -5.824440775,      -4.726615613,      -4.713055847,      -7.249341327,      0.3092710337,        65.2170305,        65.2170305,      0.3540565813,       1.378265703
          61,      -5.816318107,      -4.724865883,      -4.709532745,      -7.246824643,      0.3817703863,        78.2604366,        78.2604366,      0.3522655787,       1.370030708
          62,      -5.801789809,      -4.721107159,      -4.707397488,      -7.243534129,      0.5053103778,        7.82604366,        7.82604366,      0.3513849894,       1.363358311
          63,      -5.781002412,      -4.714914858,      -4.706723323,      -7.294322168,     -0.4576819099,       9.391252392,       9.391252392,      0.3513074222,       1.362719021
          64,      -5.789741461,      -4.713890569,      -4.715064801,      -7.292035843,     -0.3864784964,       11.26950287,       11.26950287,      0.3512344273,       1.362001405
          65,      -5.807079118,       -4.71228585,      -4.720835973,      -7.289661059,     -0.3099186354,       13.52340344,       13.52340344,      0.3511763936,       1.361212872
          66,       -5.81703685,      -4.711188433,      -4.724834393,      -7.289323267,     -0.2175895105,       16.22808413,       16.22808413,      0.3511483048,       1.360364151
          67,      -5.818170728,      -4.710359549,      -4.727373005,      -7.289916785,     -0.1160623208,       19.47370096,       19.47370096,      0.3511666619,       1.359461193
          68,      -5.813952044,      -4.709336088,      -4.729049457,      -7.290214579,    -0.04462978942,       23.36844115,       23.36844115,      0.3512531787,       1.358523679
          69,      -5.806280316,      -4.707908339,      -4.730529964,      -7.290292301,     -0.1102725268,       28.04212938,       28.04212938,      0.3514709739,       1.357692059
          70,       -5.79647255,      -4.706228329,      -4.731748075,      -7.290683426,     -0.3456475677,       33.65055526,       33.65055526,      0.3519813774,       1.357381154
          71,      -5.785102116,      -4.704313232,      -4.732447853,      -7.292020897,    -0.04871066345,       40.38066631,       40.38066631,      0.3530066437,       1.358189432
          72,      -5.772390057,      -4.702065236,      -4.732396721,      -7.294594244,    -0.06696153147,       48.45679957,       48.45679957,       0.354631627,       1.360396222
          73,      -5.757908151,      -4.699155439,      -4.731983021,      -7.298576353,     -0.3966666607,       58.14815949,       58.14815949,      0.3566595801,       1.363556318
