"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -5.047249752,      -4.085862983,      -4.002484061,     -0.2295508361,       4.508755189,               2.4,               2.4,      0.3443848627,       1.262778294
           1,      -5.084137848,      -4.101151044,      -4.026494077,     -0.8089447567,       3.931164066,              2.88,              2.88,      0.3443851696,       1.262778503
           2,      -5.017245465,      -4.112016121,      -4.063594571,      -1.372372383,        3.37077304,             3.456,             3.456,       0.344386108,       1.262781784
           3,      -4.930909762,      -4.116844272,      -4.117547208,      -1.905630348,       2.842704647,            4.1472,            4.1472,      0.3443877699,       1.262790748
           4,      -4.876865723,      -4.115311093,      -4.189767556,      -2.376298856,       2.380274438,           4.97664,           4.97664,       0.344389407,       1.262808925
           5,      -4.863325413,      -4.109187098,      -4.277805187,      -2.733246937,       2.032064682,          5.971968,          5.971968,      0.3443864796,       1.262836377
           6,      -4.883331008,      -4.101981997,      -4.374030176,      -2.968014986,       1.801753642,         7.1663616,         7.1663616,      0.3443586303,       1.262847329
           7,      -4.921832836,      -4.097496779,      -4.460195088,      -3.131741904,       1.640055023,        8.59963392,        8.59963392,      0.3442278123,        1.26271421
           8,      -4.962242192,      -4.098117346,      -4.500492147,      -3.264533761,       1.523084087,        10.3195607,        10.3195607,      0.3437465275,       1.262022835
           9,      -4.996397581,      -4.103844722,      -4.480222593,      -3.382910121,       1.503441509,       12.38347284,       12.38347284,       0.342289672,       1.259772301
          10,       -5.02672605,      -4.112324664,      -4.439976866,      -3.493241311,       1.607574226,       14.86016741,       14.86016741,      0.3386473215,       1.254183998
          11,      -5.060130498,      -4.120250885,      -4.414707532,      -3.598283855,       1.709443618,        17.8322009,        17.8322009,      0.3311372602,       1.243183457
          12,      -5.100700782,      -4.125613573,      -4.408356833,      -3.699323526,       1.732021392,       21.39864108,       21.39864108,      0.3183486499,       1.225924502
          13,      -5.144192448,      -4.128527974,      -4.408610527,      -3.796903979,       1.660781519,       25.67836929,       25.67836929,      0.3001992235,         1.2043855
          14,      -5.181151938,       -4.13021612,      -4.403322913,      -3.891077571,       1.558473919,       30.81404315,       30.81404315,      0.2781916725,       1.182831348
          15,      -5.204424751,      -4.131789303,      -4.388711555,      -3.981224399,       1.593528799,       36.97685178,       36.97685178,      0.2548719745,        1.16515882
          16,      -5.212727994,      -4.134229298,       -4.36835382,       -4.06651012,       1.693471362,       44.37222213,       44.37222213,      0.2328723877,       1.152095666
          17,      -5.214483293,      -4.138294175,      -4.345020745,      -4.145480051,       1.773415598,       53.24666656,       53.24666656,      0.2149713316,       1.141743693
          18,       -5.21855284,      -4.145365909,      -4.322047674,      -4.215947628,       1.799999163,       63.89599987,       63.89599987,      0.2042413847,       1.132612147
          19,       -5.22539778,      -4.157518405,      -4.304260644,      -4.274895296,       1.710715379,       76.67519985,       76.67519985,      0.2031756402,       1.126196655
          20,      -5.228822168,      -4.176590533,      -4.298586835,      -4.319226197,       1.162111804,       92.01023982,       92.01023982,      0.2118100758,       1.127138011
          21,      -5.245157082,      -4.202908972,       -4.30712424,      -4.346560225,       1.144590639,       92.01023982,       92.01023982,      0.2274240816,       1.141306216
          22,       -5.28444085,      -4.237068157,      -4.327169091,      -4.356408138,        1.10861478,       9.201023982,       9.201023982,      0.2437727466,       1.166225047
          23,       -5.34017442,      -4.277962208,      -4.365017975,      -4.352372934,       0.353424031,       11.04122878,       11.04122878,      0.2454528649,       1.168866599
          24,      -5.379538924,      -4.288377183,      -4.482640805,      -4.351204687,      0.3458844421,       13.24947453,       13.24947453,      0.2474585399,       1.172188582
          25,       -5.53173021,       -4.30571058,      -4.574279943,      -4.349741625,      0.3563891673,       15.89936944,       15.89936944,      0.2498420356,       1.176359161
          26,      -5.612423004,      -4.333612702,      -4.588734686,      -4.347906899,      0.3772691724,       19.07924333,       19.07924333,      0.2526632811,       1.181585705
          27,      -5.595876659,       -4.36595471,       -4.56398936,      -4.345607629,      0.4199225587,       22.89509199,       22.89509199,        0.25601481,       1.188184843
          28,      -5.570426117,       -4.39805737,      -4.559733338,      -4.342745011,      0.4656054015,       27.47411039,       27.47411039,      0.2600509987,       1.196695357
          29,      -5.565675704,      -4.430683901,      -4.580398672,      -4.339220662,      0.5221563014,       32.96893247,       32.96893247,      0.2649530276,       1.207850398
          30,      -5.571988742,      -4.465810505,      -4.607630362,      -4.334930504,      0.5722390381,       39.56271897,       39.56271897,      0.2707955428,       1.222213857
          31,      -5.570346157,      -4.503330272,      -4.630415264,      -4.329805758,      0.6272487509,       47.47526276,       47.47526276,      0.2774987444,       1.239787067
          32,      -5.560891797,      -4.541135332,      -4.650319613,      -4.323848676,      0.6872336208,       56.97031531,       56.97031531,      0.2850568237,       1.260160054
          33,      -5.552524138,      -4.577280646,      -4.670955711,      -4.317183544,      0.7980725783,       68.36437837,       68.36437837,      0.2938351976,       1.283106306
          34,      -5.554474724,      -4.610419224,      -4.687248225,      -4.310120945,      0.8148845847,       82.03725405,       82.03725405,      0.3044544626,       1.308710728
          35,      -5.570510228,      -4.639114765,       -4.69844948,      -4.303243586,      0.7556627947,       8.203725405,       8.203725405,      0.3171982455,       1.336639626
          36,      -5.602843208,      -4.662307127,      -4.705657269,      -4.297439955,       0.130757716,       9.844470486,       9.844470486,      0.3184807754,       1.339431755
          37,      -5.613994448,      -4.665964774,      -4.739203944,      -4.296815052,      0.1328384737,       11.81336458,       11.81336458,      0.3200168508,       1.342733003
          38,      -5.645029842,       -4.67003058,      -4.758500831,      -4.296090525,      0.1552543535,        14.1760375,        14.1760375,      0.3218560057,       1.346624404
          39,      -5.663970967,      -4.676439438,      -4.764527102,      -4.295256803,       0.195865218,         17.011245,         17.011245,      0.3240578736,       1.351188246
          40,      -5.671841623,      -4.683725216,      -4.762465464,      -4.294307758,      0.2441813769,         20.413494,         20.413494,      0.3266973325,       1.356515228
          41,      -5.676647605,      -4.690267218,      -4.758862342,      -4.293245311,      0.2741194511,        24.4961928,        24.4961928,      0.3298768586,       1.362748968
          42,      -5.681923098,      -4.695740162,      -4.756379992,      -4.292085989,      0.2364685624,       29.39543136,       29.39543136,      0.3337301066,       1.370140042
          43,       -5.68992067,      -4.700624149,      -4.753756774,      -4.290870799,      0.2964533844,       35.27451763,       35.27451763,        0.33834714,        1.37890276
          44,      -5.699587209,      -4.705311795,      -4.749533445,      -4.289689017,      0.5041237413,       42.32942116,       42.32942116,      0.3435925847,       1.388740244
          45,      -5.709057001,      -4.709980625,       -4.74383772,      -4.288678494,       0.682123547,       50.79530539,       50.79530539,      0.3489862055,       1.398462676
          46,      -5.716313266,      -4.714609965,      -4.737459534,      -4.288049501,      0.7726555727,       60.95436647,       60.95436647,      0.3538440945,       1.406291962
          47,      -5.721906895,      -4.719090672,      -4.730911396,       -4.28810447,      0.7485365414,       73.14523976,       73.14523976,      0.3574921623,       1.410490933
          48,      -5.728070669,      -4.722789182,      -4.724241094,      -4.289252794,       0.642316406,       7.314523976,       7.314523976,      0.3593045933,       1.409601919
          49,      -5.735288944,       -4.72467802,      -4.717777172,      -4.292027635,     0.01567099875,       8.777428771,       8.777428771,      0.3594622987,       1.409459309
          50,       -5.75674432,      -4.724219217,      -4.726881485,      -4.292247541,     0.02386537647,       10.53291453,       10.53291453,       0.359616792,       1.409209087
          51,      -5.786920312,      -4.723541591,       -4.73235934,      -4.292522019,     0.05549575306,       12.63949743,       12.63949743,      0.3597526326,       1.408796004
          52,      -5.805312991,      -4.723834122,      -4.734986583,      -4.292866541,      0.1132120483,       15.16739692,       15.16739692,      0.3598433925,       1.408133922
          53,      -5.813126544,      -4.724549122,      -4.735441377,      -4.293303067,      0.1910760656,        18.2008763,        18.2008763,      0.3598437809,       1.407085299
          54,      -5.815579779,      -4.725049585,      -4.734796085,      -4.293863573,      0.2702486771,       21.84105156,       21.84105156,      0.3596850814,        1.40545123
          55,      -5.815212062,      -4.725300034,      -4.733910851,       -4.29459503,      0.2967934817,       26.20926187,       26.20926187,      0.3592975938,       1.403034823
          56,      -5.815333888,      -4.725547357,        -4.7324674,      -4.295566673,      0.2679722397,       31.45111425,       31.45111425,      0.3586609931,        1.39977559
          57,      -5.816210717,       -4.72590418,      -4.729893686,      -4.296881914,      0.2672643863,        37.7413371,        37.7413371,      0.3577951705,       1.395726808
          58,      -5.816367765,      -4.726088667,      -4.726126073,      -4.298684157,      0.2855758208,       45.28960451,       45.28960451,      0.3566369613,       1.390735095
          59,      -5.814949963,      -4.725898172,      -4.721838606,      -4.301169399,      0.3085983223,       54.34752542,       54.34752542,      0.3550057309,       1.384316651
          60,      -5.811071615,      -4.724858614,      -4.717708983,      -4.304597212,      0.3593046235,        65.2170305,        65.2170305,      0.3528673402,       1.376266874
          61,      -5.802528341,      -4.722494736,      -4.714427348,      -4.309299908,      0.4223593443,        78.2604366,        78.2604366,      0.3506379192,       1.367456091
          62,      -5.789062876,      -4.718277686,      -4.712478486,      -4.315689566,      0.5343312299,        7.82604366,        7.82604366,        0.34909303,       1.359777948
          63,      -5.770271727,      -4.711888509,      -4.711688142,       -4.32427094,    -0.05288580612,       9.391252392,       9.391252392,      0.3489478586,       1.359035614
          64,      -5.779478937,      -4.711293917,      -4.719078187,      -4.324995383,     -0.0408925976,       11.26950287,       11.26950287,      0.3487917243,        1.35818978
          65,      -5.795103514,      -4.709978818,      -4.724449355,       -4.32587313,    -0.02199311421,       13.52340344,       13.52340344,      0.3486305462,       1.357240954
          66,      -5.804774117,      -4.708892284,      -4.728385925,       -4.32693974,    0.008889891307,       16.22808413,       16.22808413,      0.3484730315,       1.356190855
          67,      -5.806776297,      -4.707889146,      -4.731201449,       -4.32824187,     0.05513007137,       19.47370096,       19.47370096,      0.3483274775,        1.35503281
          68,      -5.803492745,       -4.70666214,      -4.733143656,      -4.329841452,     0.09768897309,       23.36844115,       23.36844115,      0.3482054451,       1.353766419
          69,      -5.796836708,      -4.705075227,      -4.734696143,      -4.331820908,     0.06940235863,       28.04212938,       28.04212938,      0.3481578708,       1.352501155
          70,      -5.787929397,      -4.703215674,      -4.735811047,      -4.334289341,    -0.03593916619,       33.65055526,       33.65055526,       0.348334043,       1.351617575
          71,      -5.777363171,      -4.701199258,       -4.73616103,      -4.337389724,     0.05527763764,       40.38066631,       40.38066631,      0.3489480866,       1.351695808
          72,      -5.765672063,      -4.698911725,      -4.735706555,      -4.341305794,     0.05379623292,       48.45679957,       48.45679957,      0.3500751829,        1.35301176
          73,      -5.753083929,      -4.696016778,      -4.734910771,      -4.346269333,     -0.0679572578,       58.14815949,       58.14815949,      0.3514892551,       1.355090616
          74,      -5.741360289,      -4.692359619,      -4.734163255,      -4.352567306,      0.0383183569,       69.77779139,       69.77779139,      0.3527938032,        1.35693448
